Energy,Count
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,5
8,7
9,7
10,18
11,33
12,48
13,111
14,172
15,353
16,745
17,1336
18,2550
19,4838
20,8866
21,15710
22,26283
23,41427
24,63579
25,90617
26,116545
27,131952
28,128256
29,106084
30,74851
31,46635
32,27502
33,17887
34,14597
35,14202
36,14882
37,15384
38,15260
39,15034
40,14470
41,14000
42,13391
43,13178
44,13969
45,15616
46,19270
47,26644
48,40271
49,63074
50,99865
51,159030
52,245424
53,362424
54,511208
55,673875
56,808863
57,864886
58,800606
59,631911
60,424471
61,246971
62,128459
63,66305
64,39147
65,28198
66,24134
67,21592
68,20011
69,18432
70,16913
71,15743
72,14840
73,14615
74,15596
75,17248
76,20625
77,26189
78,34757
79,48723
80,68239
81,94585
82,128781
83,169784
84,207085
85,230955
86,227247
87,196206
88,145172
89,93172
90,52857
91,28611
92,15995
93,10590
94,8258
95,7444
96,7000
97,6578
98,6240
99,5794
100,5663
101,5710
102,5852
103,6369
104,7188
105,8637
106,10877
107,14783
108,20238
109,27669
110,36933
111,48460
112,59521
113,67846
114,70577
115,65558
116,53776
117,38591
118,24380
119,13916
120,7835
121,4724
122,3500
123,2823
124,2628
125,2410
126,2438
127,2186
128,2200
129,2097
130,2236
131,2342
132,2532
133,3109
134,3975
135,5175
136,7041
137,9315
138,11955
139,15391
140,18501
141,21490
142,22960
143,22540
144,20009
145,15985
146,11351
147,7086
148,4097
149,2486
150,1563
151,1142
152,1045
153,939
154,878
155,806
156,855
157,790
158,790
159,901
160,1067
161,1144
162,1458
163,2028
164,2608
165,3281
166,4322
167,5261
168,6170
169,6881
170,7429
171,7935
172,7518
173,6474
174,5083
175,3519
176,2237
177,1378
178,802
179,570
180,449
181,402
182,310
183,343
184,341
185,330
186,305
187,368
188,422
189,448
190,608
191,772
192,1020
193,1365
194,1566
195,1892
196,2079
197,2436
198,2552
199,2769
200,2675
201,2543
202,2188
203,1604
204,1176
205,730
206,459
207,292
208,210
209,149
210,142
211,137
212,146
213,124
214,141
215,157
216,168
217,216
218,260
219,318
220,462
221,503
222,602
223,716
224,759
225,871
226,915
227,974
228,987
229,991
230,895
231,818
232,569
233,415
234,262
235,167
236,115
237,76
238,84
239,59
240,70
241,54
242,63
243,66
244,88
245,94
246,130
247,154
248,185
249,204
250,279
251,303
252,254
253,300
254,329
255,322
256,375
257,353
258,352
259,342
260,290
261,219
262,164
263,96
264,61
265,44
266,37
267,30
268,35
269,22
270,34
271,34
272,36
273,27
274,45
275,73
276,75
277,99
278,114
279,107
280,122
281,102
282,133
283,135
284,125
285,146
286,150
287,135
288,124
289,105
290,76
291,62
292,29
293,28
294,16
295,16
296,12
297,6
298,11
299,19
300,11
301,30
302,19
303,29
304,20
305,45
306,45
307,45
308,46
309,31
310,36
311,51
312,56
313,68
314,53
315,56
316,50
317,41
318,32
319,33
320,18
321,8
322,6
323,6
324,2
325,4
326,10
327,4
328,9
329,10
330,12
331,14
332,20
333,17
334,20
335,18
336,12
337,13
338,32
339,24
340,17
341,14
342,19
343,20
344,16
345,20
346,14
347,16
348,8
349,3
350,7
351,6
352,7
353,3
354,4
355,3
356,3
357,5
358,7
359,5
360,7
361,8
362,2
363,9
364,7
365,6
366,11
367,7
368,7
369,10
370,14
371,9
372,8
373,7
374,3
375,10
376,8
377,1
378,4
379,5
380,1
381,2
382,1
383,1
384,4
385,3
386,1
387,5
388,4
389,2
390,4
391,3
392,8
393,1
394,3
395,5
396,5
397,1
398,3
399,7
400,1
401,3
402,5
403,0
404,3
405,1
406,1
407,0
408,1
409,1
410,0
411,0
412,2
413,0
414,2
415,4
416,1
417,2
418,1
419,0
420,1
421,1
422,2
423,0
424,2
425,3
426,2
427,1
428,2
429,2
430,4
431,3
432,4
433,0
434,0
435,1
436,0
437,1
438,0
439,0
440,2
441,0
442,1
443,0
444,0
445,1
446,1
447,0
448,1
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,1
457,2
458,2
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,1
471,0
472,2
473,0
474,0
475,0
476,1
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,2
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,2
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,0
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,1
537,0
538,1
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,1
