Energy,Count
0,0
1,0
2,1
3,5
4,2
5,10
6,15
7,32
8,69
9,170
10,432
11,927
12,1621
13,2701
14,4121
15,6361
16,9812
17,14405
18,21205
19,29492
20,40160
21,52164
22,65296
23,79771
24,91465
25,100024
26,102342
27,98068
28,87843
29,72955
30,58117
31,47317
32,40326
33,37547
34,37514
35,38243
36,40289
37,42250
38,44495
39,48226
40,53769
41,61737
42,74129
43,92781
44,120653
45,158942
46,211469
47,279055
48,363918
49,467794
50,581584
51,705187
52,819642
53,913224
54,967469
55,967989
56,907614
57,790295
58,631357
59,466511
60,324327
61,221905
62,158193
63,122740
64,104240
65,94495
66,88140
67,83934
68,80866
69,79136
70,79650
71,83173
72,90086
73,99727
74,114735
75,131688
76,153487
77,179366
78,206632
79,235635
80,261827
81,279590
82,289355
83,285291
84,264468
85,231002
86,187673
87,142168
88,102548
89,72966
90,54362
91,43193
92,37432
93,34240
94,32476
95,31024
96,30180
97,30417
98,30943
99,31806
100,33774
101,36601
102,40926
103,45852
104,52466
105,60156
106,68311
107,76248
108,83859
109,89246
110,90698
111,90028
112,83873
113,74415
114,61119
115,47635
116,35487
117,26173
118,19942
119,15998
120,13549
121,12390
122,11595
123,11335
124,10868
125,11018
126,11003
127,11706
128,12271
129,13406
130,14822
131,16634
132,18846
133,21082
134,24074
135,26216
136,28720
137,29570
138,30447
139,29864
140,27965
141,25410
142,21079
143,16979
144,13215
145,9715
146,7539
147,6067
148,5205
149,4556
150,4395
151,4167
152,4176
153,4182
154,4223
155,4512
156,4647
157,5095
158,5776
159,6252
160,6974
161,7940
162,8606
163,9554
164,10036
165,10593
166,10622
167,10486
168,9923
169,8957
170,7850
171,6378
172,5038
173,3914
174,2914
175,2425
176,1987
177,1784
178,1703
179,1635
180,1592
181,1682
182,1675
183,1833
184,1856
185,2040
186,2278
187,2500
188,2674
189,3022
190,3341
191,3592
192,3775
193,3869
194,3827
195,3851
196,3656
197,3285
198,2882
199,2550
200,2022
201,1598
202,1292
203,1013
204,795
205,827
206,649
207,681
208,623
209,650
210,669
211,688
212,752
213,838
214,910
215,991
216,1064
217,1189
218,1292
219,1325
220,1373
221,1447
222,1461
223,1386
224,1270
225,1291
226,1210
227,1011
228,794
229,632
230,511
231,371
232,331
233,315
234,270
235,278
236,247
237,286
238,309
239,276
240,314
241,350
242,345
243,399
244,446
245,456
246,531
247,560
248,489
249,585
250,554
251,557
252,532
253,488
254,416
255,392
256,349
257,257
258,255
259,189
260,153
261,122
262,145
263,112
264,104
265,94
266,121
267,133
268,136
269,160
270,190
271,161
272,171
273,198
274,178
275,206
276,190
277,215
278,235
279,202
280,184
281,200
282,173
283,170
284,130
285,119
286,88
287,76
288,77
289,64
290,54
291,54
292,45
293,41
294,65
295,45
296,67
297,79
298,58
299,87
300,67
301,67
302,93
303,82
304,72
305,91
306,92
307,84
308,91
309,63
310,66
311,59
312,50
313,46
314,29
315,24
316,35
317,18
318,22
319,27
320,23
321,14
322,30
323,25
324,27
325,22
326,28
327,33
328,37
329,30
330,29
331,31
332,30
333,26
334,38
335,26
336,27
337,30
338,30
339,22
340,26
341,23
342,22
343,17
344,12
345,10
346,16
347,10
348,7
349,10
350,11
351,9
352,14
353,12
354,12
355,21
356,17
357,17
358,13
359,12
360,17
361,10
362,18
363,13
364,12
365,12
366,11
367,10
368,10
369,15
370,5
371,5
372,3
373,4
374,5
375,4
376,1
377,9
378,5
379,6
380,9
381,6
382,6
383,6
384,6
385,3
386,2
387,5
388,5
389,4
390,8
391,6
392,5
393,4
394,6
395,0
396,0
397,2
398,4
399,4
400,6
401,3
402,2
403,4
404,2
405,0
406,2
407,1
408,3
409,2
410,5
411,5
412,2
413,1
414,2
415,2
416,4
417,3
418,1
419,2
420,3
421,5
422,1
423,1
424,0
425,5
426,1
427,2
428,0
429,0
430,1
431,1
432,0
433,2
434,0
435,1
436,1
437,0
438,1
439,2
440,3
441,2
442,1
443,2
444,0
445,0
446,3
447,1
448,1
449,0
450,1
451,1
452,0
453,1
454,1
455,1
456,0
457,2
458,1
459,0
460,0
461,1
462,0
463,2
464,1
465,0
466,2
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,2
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,1
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,1
