Energy,Count
0,2
1,2
2,7
3,4
4,11
5,14
6,23
7,46
8,128
9,239
10,659
11,1269
12,2160
13,3445
14,5512
15,8260
16,12122
17,17205
18,24126
19,32825
20,42750
21,54783
22,66552
23,78472
24,87274
25,93793
26,95033
27,91251
28,82051
29,70763
30,58824
31,50045
32,45206
33,43680
34,44376
35,45905
36,48405
37,51991
38,56211
39,62171
40,72070
41,85334
42,104469
43,131297
44,169255
45,219456
46,283509
47,364165
48,457279
49,563543
50,674764
51,779119
52,870361
53,931706
54,947951
55,914331
56,831963
57,707450
58,562357
59,417675
60,299149
61,215620
62,164074
63,134571
64,118639
65,108664
66,103291
67,99693
68,97067
69,97319
70,100404
71,106227
72,116387
73,130054
74,146915
75,167669
76,190766
77,215851
78,242080
79,264444
80,282398
81,289869
82,288572
83,273074
84,246224
85,208755
86,167278
87,127326
88,95080
89,71265
90,56418
91,48161
92,42779
93,40292
94,38703
95,38008
96,37363
97,37545
98,38447
99,40714
100,43564
101,47597
102,52451
103,58373
104,65327
105,72607
106,80166
107,85988
108,90379
109,93052
110,91387
111,86472
112,77707
113,66812
114,53891
115,42448
116,32124
117,24952
118,20145
119,17277
120,15471
121,14551
122,13953
123,13817
124,13659
125,14026
126,14192
127,15092
128,16080
129,17484
130,19241
131,21429
132,23332
133,25980
134,27840
135,29952
136,31050
137,31243
138,30861
139,28718
140,26188
141,22477
142,18749
143,14622
144,11659
145,9049
146,7449
147,6570
148,5691
149,5419
150,5120
151,5048
152,5128
153,5271
154,5449
155,5715
156,6088
157,6584
158,7453
159,8031
160,8731
161,9517
162,10068
163,10712
164,10858
165,11174
166,10652
167,10003
168,9305
169,8093
170,6794
171,5419
172,4423
173,3529
174,2835
175,2497
176,2144
177,2076
178,2069
179,2027
180,2103
181,2075
182,2043
183,2195
184,2380
185,2651
186,2728
187,3038
188,3335
189,3535
190,3786
191,3899
192,3943
193,3994
194,3813
195,3696
196,3343
197,2982
198,2496
199,2066
200,1676
201,1397
202,1155
203,1006
204,820
205,812
206,827
207,820
208,766
209,794
210,854
211,951
212,971
213,1014
214,1205
215,1223
216,1267
217,1440
218,1488
219,1522
220,1546
221,1453
222,1426
223,1394
224,1245
225,1097
226,963
227,800
228,716
229,566
230,496
231,415
232,355
233,325
234,315
235,329
236,314
237,344
238,361
239,381
240,405
241,421
242,470
243,481
244,496
245,557
246,557
247,582
248,587
249,551
250,591
251,543
252,508
253,467
254,371
255,343
256,264
257,232
258,172
259,168
260,149
261,132
262,149
263,119
264,142
265,146
266,160
267,153
268,173
269,169
270,198
271,190
272,228
273,234
274,214
275,207
276,219
277,201
278,216
279,203
280,195
281,184
282,165
283,127
284,113
285,115
286,84
287,85
288,75
289,50
290,62
291,58
292,55
293,51
294,70
295,61
296,68
297,93
298,71
299,69
300,83
301,92
302,75
303,97
304,77
305,87
306,83
307,90
308,77
309,96
310,56
311,46
312,58
313,36
314,41
315,33
316,24
317,29
318,21
319,23
320,30
321,20
322,26
323,23
324,28
325,34
326,32
327,27
328,31
329,35
330,38
331,38
332,32
333,38
334,39
335,37
336,29
337,25
338,24
339,27
340,19
341,20
342,13
343,14
344,10
345,12
346,8
347,13
348,10
349,11
350,10
351,17
352,13
353,14
354,19
355,15
356,16
357,17
358,18
359,15
360,12
361,12
362,11
363,10
364,12
365,12
366,13
367,9
368,5
369,8
370,4
371,8
372,7
373,2
374,7
375,8
376,4
377,3
378,6
379,5
380,5
381,5
382,4
383,4
384,5
385,4
386,8
387,7
388,3
389,6
390,3
391,3
392,5
393,4
394,7
395,5
396,4
397,1
398,2
399,1
400,2
401,2
402,2
403,5
404,3
405,4
406,0
407,4
408,3
409,3
410,4
411,4
412,2
413,1
414,2
415,3
416,4
417,3
418,1
419,3
420,1
421,2
422,1
423,1
424,3
425,3
426,0
427,2
428,0
429,2
430,1
431,2
432,5
433,0
434,1
435,0
436,0
437,2
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,3
446,1
447,1
448,0
449,2
450,1
451,0
452,0
453,3
454,0
455,0
456,0
457,1
458,1
459,0
460,2
461,1
462,0
463,1
464,0
465,1
466,1
467,0
468,0
469,0
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,1
