Energy,Count
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,2
9,3
10,3
11,14
12,28
13,52
14,102
15,217
16,406
17,803
18,1630
19,3223
20,6281
21,11460
22,19845
23,33490
24,52840
25,77797
26,102166
27,116423
28,112840
29,92422
30,63658
31,39195
32,22956
33,14817
34,12378
35,12621
36,13322
37,13171
38,13021
39,12655
40,12083
41,11334
42,10843
43,10641
44,11100
45,12568
46,15821
47,21909
48,33620
49,54888
50,90679
51,147982
52,233195
53,352094
54,503810
55,665664
56,788523
57,814041
58,721522
59,540878
60,343623
61,188858
62,94271
63,47701
64,28940
65,21747
66,19141
67,17509
68,15901
69,14405
70,13144
71,12080
72,11370
73,11639
74,12554
75,14272
76,17590
77,22985
78,31813
79,45881
80,65758
81,95581
82,132244
83,171742
84,207337
85,221477
86,206300
87,165960
88,114136
89,68067
90,36367
91,18742
92,10932
93,7731
94,6489
95,5899
96,5649
97,5177
98,4783
99,4689
100,4409
101,4344
102,4792
103,5209
104,6235
105,8040
106,10740
107,14503
108,20408
109,28768
110,39330
111,50865
112,61002
113,67357
114,65792
115,56487
116,42586
117,27717
118,16146
119,8962
120,5049
121,3169
122,2488
123,2215
124,2004
125,1959
126,1870
127,1810
128,1585
129,1664
130,1813
131,2004
132,2429
133,3060
134,3966
135,5417
136,7328
137,10062
138,13188
139,16474
140,19524
141,21602
142,21790
143,20109
144,16125
145,11645
146,7418
147,4311
148,2455
149,1454
150,962
151,872
152,794
153,675
154,631
155,705
156,665
157,681
158,714
159,825
160,944
161,1181
162,1613
163,2175
164,2780
165,3625
166,4632
167,5601
168,6572
169,7199
170,7556
171,7124
172,6477
173,4963
174,3454
175,2130
176,1303
177,745
178,439
179,365
180,323
181,295
182,302
183,244
184,275
185,286
186,267
187,299
188,408
189,552
190,705
191,916
192,1139
193,1467
194,1704
195,2025
196,2337
197,2439
198,2712
199,2673
200,2446
201,2150
202,1597
203,1119
204,673
205,433
206,254
207,174
208,133
209,111
210,114
211,109
212,118
213,132
214,119
215,161
216,172
217,255
218,324
219,344
220,485
221,638
222,665
223,739
224,811
225,935
226,973
227,1002
228,965
229,887
230,687
231,547
232,332
233,238
234,157
235,85
236,67
237,53
238,67
239,46
240,63
241,56
242,70
243,80
244,76
245,104
246,125
247,198
248,224
249,253
250,246
251,300
252,336
253,317
254,344
255,347
256,387
257,336
258,302
259,257
260,179
261,125
262,73
263,58
264,35
265,33
266,18
267,15
268,21
269,24
270,26
271,37
272,33
273,52
274,70
275,79
276,86
277,105
278,109
279,97
280,127
281,128
282,130
283,133
284,132
285,134
286,125
287,97
288,89
289,62
290,44
291,27
292,24
293,10
294,13
295,11
296,12
297,12
298,13
299,12
300,14
301,33
302,32
303,34
304,38
305,40
306,42
307,41
308,37
309,43
310,63
311,56
312,46
313,70
314,52
315,66
316,43
317,34
318,17
319,23
320,6
321,10
322,6
323,7
324,3
325,6
326,7
327,12
328,12
329,6
330,16
331,21
332,21
333,16
334,21
335,18
336,23
337,13
338,20
339,19
340,17
341,26
342,17
343,23
344,23
345,14
346,11
347,5
348,4
349,4
350,2
351,3
352,3
353,3
354,3
355,3
356,7
357,3
358,3
359,7
360,11
361,6
362,11
363,8
364,5
365,7
366,8
367,7
368,9
369,7
370,7
371,9
372,6
373,4
374,6
375,3
376,4
377,0
378,3
379,2
380,2
381,2
382,1
383,4
384,2
385,3
386,4
387,3
388,0
389,1
390,1
391,1
392,3
393,3
394,2
395,1
396,3
397,2
398,5
399,3
400,3
401,6
402,3
403,2
404,1
405,2
406,0
407,0
408,0
409,1
410,1
411,2
412,0
413,2
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,0
422,1
423,2
424,2
425,2
426,2
427,1
428,0
429,1
430,0
431,2
432,1
433,0
434,0
435,1
436,1
437,2
438,0
439,0
440,0
441,0
442,1
443,1
444,2
445,2
446,0
447,1
448,1
449,0
450,0
451,0
452,4
453,2
454,2
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,0
540,0
541,0
542,1
